DATA_BELOW
2011-06-11,1208,973284
2011-06-12,3783,977067
2011-06-13,3444,980511
2011-06-14,4047,984558
2011-06-15,3453,988011
2011-06-16,3646,991657
2011-06-17,2751,994408
2011-06-18,0,994408
2011-06-19,0,994408
2011-06-20,730,995138
2011-06-21,906,996044
2011-06-22,958,997002
2011-06-23,168,997170
2011-06-24,1019,998189
2011-06-25,783,998972
2011-06-26,1165,1000137
2011-06-27,1170,1001307
2011-06-28,2782,1004089
2011-06-29,4312,1008401
2011-06-30,4318,1012719
2011-07-01,4167,1016886
2011-07-02,3592,1020478
2011-07-03,3523,1024001
2011-07-04,3128,1027129
2011-07-05,4432,1031561
2011-07-06,4589,1036150
2011-07-07,3753,1039903
2011-07-08,4423,1044326
2011-07-09,5098,1049424
2011-07-10,3941,1053365
2011-07-11,2699,1056064
2011-07-12,2442,1058506
2011-07-13,3682,1062188
2011-07-14,2937,1065125
2011-07-15,2976,1068101
2011-07-16,567,1068668
2011-07-17,4336,1073004
2011-07-18,4622,1077626
2011-07-19,3532,1081158
2011-07-20,2565,1083723
2011-07-21,3287,1087010
2011-07-22,3518,1090528
2011-07-23,4011,1094539
2011-07-24,1158,1095697
2011-07-25,4626,1100323
2011-07-26,4488,1104811
2011-07-27,4235,1109046
2011-07-28,3133,1112179
2011-07-29,3626,1115805
2011-07-30,3455,1119260
2011-07-31,3678,1122938
2011-08-01,3550,1126488
2011-08-02,3509,1129997
2011-08-03,3547,1133544
2011-08-04,3565,1137109
2011-08-05,3635,1140744
2011-08-06,3754,1144498
2011-08-07,3582,1148080
2011-08-08,3686,1151766
2011-08-09,3570,1155336
2011-08-10,3550,1158886
2011-08-11,3778,1162664
2011-08-12,3509,1166173
2011-08-13,3153,1169326
2011-08-14,3313,1172639
2011-08-15,3917,1176556
2011-08-16,4034,1180590
2011-08-17,3801,1184391
2011-08-18,3476,1187867
2011-08-19,2720,1190587
2011-08-20,0,1190587
2011-08-21,1,1190588
2011-08-22,2180,1192768
2011-08-23,3851,1196619
2011-08-24,3455,1200074
2011-08-25,3846,1203920
2011-08-26,3444,1207364
2011-08-27,3163,1210527
2011-08-28,3627,1214154
2011-08-29,3312,1217466
2011-08-30,3818,1221284
2011-08-31,3623,1224907
2011-09-01,3627,1228534
2011-09-02,3715,1232249
2011-09-03,3631,1235880
2011-09-04,2354,1238234
2011-09-05,4265,1242499
2011-09-06,4550,1247049
2011-09-07,3712,1250761
2011-09-08,3696,1254457
2011-09-09,3645,1258102
2011-09-10,3455,1261557
2011-09-11,2853,1264410
2011-09-12,3837,1268247
2011-09-13,2062,1270309
2011-09-14,0,1270309
2011-09-15,7,1270316
2011-09-16,3,1270319
2011-09-17,0,1270319
2011-09-18,0,1270319
2011-09-19,1,1270320
2011-09-20,2,1270322
2011-09-21,12,1270334
2011-09-22,4,1270338
2011-09-23,12,1270350
2011-09-24,1,1270351
2011-09-25,0,1270351
2011-09-26,3,1270354
2011-09-27,19,1270373
2011-09-28,6,1270379
2011-09-29,3,1270382
2011-09-30,8,1270390
2011-10-01,0,1270390
2011-10-02,1,1270391
2011-10-03,13,1270404
2011-10-04,5,1270409
2011-10-05,4,1270413
2011-10-06,322,1270735
2011-10-07,1101,1271836
2011-10-08,882,1272718
2011-10-09,896,1273614
2011-10-10,969,1274583
2011-10-11,685,1275268
2011-10-12,918,1276186
2011-10-13,736,1276922
2011-10-14,810,1277732
2011-10-15,463,1278195
2011-10-16,186,1278381
